週識別子,バッチ,投稿番号,媒体,投稿日,投稿時刻,曜日,ステップ,本文ファイルURL,素材フォルダURL,予約ツールURL,特記事項
2026-W24,火曜,1,Flodesk,2026/6/15,8:00 JST,月,Day 46,https://drive.google.com/file/d/1Ye8KfyOL3G-yuVF19rOkMCDZGvDL3Wjm/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（5-3 オーガニックコスメをお勧めする理由）
2026-W24,火曜,2,Flodesk,2026/6/16,8:00 JST,火,Day 47,https://drive.google.com/file/d/1TSvfguLKynK9w95vfKAwVHYlmVZ1dEXj/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（ドイツ視点・コスメ売場で見た景色）
2026-W24,火曜,3,Flodesk,2026/6/17,8:00 JST,水,Day 48,https://drive.google.com/file/d/1VPPVuuZsFjd1rNHjg4pG8WztErC0jlb2/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（5-4 4つのナチュラル）
2026-W24,火曜,4,Flodesk,2026/6/18,8:00 JST,木,Day 49,https://drive.google.com/file/d/13ZPshrcAQpiBbSPWadbN6sghYxRxffAs/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（5-5 素材と効果効能）
2026-W24,火曜,5,Flodesk,2026/6/19,8:00 JST,金,Day 50,https://drive.google.com/file/d/1bWOK-qX1-2s2hdEd8tyl6STI5CPQldAj/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。フレーズ回（3行で伝える）
2026-W24,金曜,2,Flodesk,2026/6/20,8:00 JST,土,Day 51,https://drive.google.com/file/d/11vEExRrCQ_yqmgzw4PTZi9g3KwWG4_Lk/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（講座6スタート OS2-1 用語説明）
2026-W24,金曜,3,Flodesk,2026/6/21,8:00 JST,日,Day 52,https://drive.google.com/file/d/1XBLlZfEPa4ZmNYPKmQRznTXxYoqb5I9b/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（OS2-1-2/1-3 表記規制と規格）
2026-W24,金曜,4,Flodesk,2026/6/22,8:00 JST,月,Day 53,https://drive.google.com/file/d/1fRb74_PiaqjX-_srqvdM4o9FiZIyGe3e/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（OS2-1-4 オーガニックの歴史）
2026-W24,金曜,5,Flodesk,2026/6/23,8:00 JST,火,Day 54,https://drive.google.com/file/d/1GwsXjT3orJ83LWVx8OeoRXSGDCRxvOPg/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（OS2-1-5 シェアタイム）
2026-W24,金曜,6,Flodesk,2026/6/24,8:00 JST,水,Day 55,https://drive.google.com/file/d/1CR_h7DT476rQcQbFv9GgUbK1ahIBvr1C/view?usp=drivesdk,,https://app.flodesk.com/,⏰本日6/14(日)17:00 JSTまでに予約完了をお願いします（このセクションのメール予約は全て本日対応）。🎬動画（OS2-2/2-1 認証スタート・基準とは）
